epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,323.063,1.20585,2.39033,0.80215,0.64531,0.82863,0.81115,0.52321,1.24167,1.07622,0.8079,0.00036057,0.00036057,0.00036057
102,326.347,1.18793,2.3852,0.81154,0.67299,0.783,0.81583,0.53122,1.23447,1.07288,0.80777,0.000357036,0.000357036,0.000357036
103,329.614,1.23793,2.44945,0.79009,0.73987,0.71231,0.81698,0.53331,1.2256,1.08418,0.80915,0.000353501,0.000353501,0.000353501
104,332.971,1.23868,2.51237,0.79734,0.71956,0.72459,0.80742,0.53061,1.22594,1.12359,0.80506,0.000349967,0.000349967,0.000349967
105,336.256,1.26195,2.51989,0.79565,0.71897,0.69585,0.79811,0.51826,1.25078,1.12639,0.80677,0.000346433,0.000346433,0.000346433
106,339.539,1.2638,2.54137,0.81339,0.77724,0.69878,0.82222,0.53025,1.26699,1.07735,0.80715,0.000342899,0.000342899,0.000342899
107,342.83,1.18687,2.26017,0.79975,0.79096,0.65791,0.79955,0.51728,1.20305,1.09992,0.80514,0.000339364,0.000339364,0.000339364
108,346.089,1.24519,2.33052,0.79072,0.7359,0.66581,0.79388,0.49529,1.20128,1.10934,0.80264,0.00033583,0.00033583,0.00033583
109,349.386,1.24489,2.47868,0.80085,0.73494,0.75184,0.81511,0.51417,1.21323,1.1113,0.80699,0.000332296,0.000332296,0.000332296
110,352.639,1.23819,2.3648,0.80682,0.63777,0.75678,0.79398,0.5041,1.21479,1.14066,0.80407,0.000328761,0.000328761,0.000328761
111,355.856,1.2015,2.22612,0.79363,0.63751,0.80471,0.79012,0.51192,1.21632,1.1112,0.8031,0.000325227,0.000325227,0.000325227
112,359.147,1.19623,2.26627,0.78795,0.62852,0.83161,0.79012,0.5148,1.1981,1.12705,0.8019,0.000321693,0.000321693,0.000321693
113,362.386,1.16136,2.34136,0.78477,0.79624,0.70883,0.80814,0.52461,1.18034,1.1037,0.80409,0.000318158,0.000318158,0.000318158
114,365.614,1.19695,2.29164,0.81549,0.7753,0.75594,0.82621,0.52905,1.17664,1.07658,0.807,0.000314624,0.000314624,0.000314624
115,368.909,1.20492,2.19704,0.7982,0.73553,0.80811,0.8398,0.53906,1.19322,1.07272,0.80906,0.00031109,0.00031109,0.00031109
116,372.169,1.20725,2.37895,0.8055,0.74839,0.81535,0.83959,0.54013,1.2018,1.07906,0.80713,0.000307555,0.000307555,0.000307555
117,375.419,1.20684,2.30891,0.79582,0.7387,0.78451,0.8392,0.54249,1.18809,1.06629,0.80508,0.000304021,0.000304021,0.000304021
118,378.686,1.13442,2.07503,0.80072,0.77096,0.79171,0.84606,0.55501,1.1659,1.03884,0.8056,0.000300487,0.000300487,0.000300487
119,381.931,1.20778,2.27338,0.80707,0.74514,0.85731,0.85569,0.55279,1.17902,1.04092,0.80855,0.000296953,0.000296953,0.000296953
120,385.162,1.26979,2.46592,0.80555,0.77267,0.73713,0.83341,0.55411,1.17043,1.05349,0.80989,0.000293418,0.000293418,0.000293418
121,388.403,1.19128,2.24698,0.81137,0.72286,0.80203,0.83618,0.55906,1.18658,1.02076,0.8106,0.000289884,0.000289884,0.000289884
122,391.639,1.1798,1.99598,0.8039,0.69477,0.83584,0.8371,0.55001,1.19192,1.01001,0.80926,0.00028635,0.00028635,0.00028635
123,394.862,1.17205,2.16898,0.8045,0.72342,0.81193,0.82663,0.54466,1.13566,0.99061,0.80804,0.000282815,0.000282815,0.000282815
124,398.078,1.14776,2.10104,0.80085,0.70648,0.78572,0.82127,0.5449,1.13225,0.97939,0.80646,0.000279281,0.000279281,0.000279281
125,401.321,1.13481,1.9899,0.79532,0.69995,0.78436,0.83263,0.5561,1.14574,0.98513,0.80399,0.000275747,0.000275747,0.000275747
126,404.565,1.13254,2.09683,0.80294,0.82668,0.71984,0.84981,0.5626,1.16274,0.97536,0.80205,0.000272212,0.000272212,0.000272212
127,407.765,1.12698,1.87916,0.79194,0.68889,0.84666,0.84327,0.54941,1.17807,0.97732,0.80245,0.000268678,0.000268678,0.000268678
128,410.966,1.16454,2.14146,0.79557,0.71346,0.83727,0.84562,0.55296,1.18777,0.9769,0.80516,0.000265144,0.000265144,0.000265144
129,414.168,1.13787,2.18116,0.81432,0.72516,0.83595,0.84982,0.54762,1.19711,0.98644,0.80606,0.00026161,0.00026161,0.00026161
130,417.372,1.15868,2.10925,0.78682,0.70309,0.85856,0.85101,0.56636,1.15746,1.04447,0.80526,0.000258075,0.000258075,0.000258075
131,420.619,1.10549,2.01648,0.79416,0.71833,0.89369,0.84921,0.57237,1.14421,1.02533,0.80605,0.000254541,0.000254541,0.000254541
132,423.813,1.18833,2.15197,0.80354,0.69232,0.85984,0.85057,0.58457,1.12043,1.04192,0.8053,0.000251007,0.000251007,0.000251007
133,427.031,1.10303,2.08823,0.80698,0.76188,0.82746,0.85354,0.5637,1.15129,1.01321,0.80588,0.000247472,0.000247472,0.000247472
134,430.236,1.14811,2.46288,0.80578,0.76776,0.84298,0.85614,0.56025,1.1352,1.01054,0.80542,0.000243938,0.000243938,0.000243938
135,433.419,1.10822,1.93399,0.80142,0.7855,0.82387,0.85093,0.5568,1.1206,1.05412,0.80569,0.000240404,0.000240404,0.000240404
136,436.698,1.13068,1.88081,0.78969,0.7874,0.85016,0.8586,0.55892,1.13923,1.01972,0.8045,0.000236869,0.000236869,0.000236869
137,439.879,1.11301,1.82911,0.78537,0.78711,0.87208,0.86108,0.54099,1.16299,1.01942,0.80437,0.000233335,0.000233335,0.000233335
138,443.066,1.15866,2.08477,0.79395,0.82704,0.83626,0.8649,0.55867,1.1508,1.03432,0.80559,0.000229801,0.000229801,0.000229801
139,446.302,1.08914,1.76287,0.79929,0.79186,0.85164,0.87673,0.54969,1.17727,1.01244,0.80197,0.000226267,0.000226267,0.000226267
140,449.516,1.09029,1.81223,0.80109,0.82027,0.80528,0.87397,0.57118,1.15009,0.98491,0.8041,0.000222732,0.000222732,0.000222732
141,452.772,1.13957,1.99602,0.77818,0.82616,0.76667,0.87147,0.57923,1.15612,0.92528,0.80442,0.000219198,0.000219198,0.000219198
142,455.956,1.08194,1.95508,0.79262,0.81186,0.78786,0.88998,0.57821,1.17581,1.00694,0.80445,0.000215664,0.000215664,0.000215664
143,459.155,1.16496,1.88469,0.7924,0.7513,0.86161,0.8888,0.57871,1.17958,1.02309,0.80337,0.000212129,0.000212129,0.000212129
144,462.37,1.15862,1.96526,0.79467,0.76532,0.84959,0.88667,0.59482,1.15995,1.03801,0.80408,0.000208595,0.000208595,0.000208595
145,465.564,1.11814,1.94943,0.79387,0.80933,0.79432,0.8865,0.59486,1.17093,1.0379,0.80353,0.000205061,0.000205061,0.000205061
146,468.797,1.16069,2.04896,0.80565,0.83012,0.73452,0.8754,0.58199,1.1717,1.03435,0.80343,0.000201527,0.000201527,0.000201527
147,471.996,1.08983,1.91228,0.79198,0.84478,0.76699,0.88603,0.57808,1.16811,0.98995,0.80344,0.000197992,0.000197992,0.000197992
148,475.197,1.11146,1.9783,0.77731,0.79795,0.88264,0.89663,0.58875,1.16824,0.9859,0.80391,0.000194458,0.000194458,0.000194458
149,478.405,1.11713,1.9379,0.80514,0.8188,0.84788,0.90272,0.60027,1.16219,0.98337,0.80388,0.000190924,0.000190924,0.000190924
150,481.647,1.1002,1.82461,0.80297,0.82247,0.76816,0.88223,0.60153,1.15443,0.94739,0.8042,0.000187389,0.000187389,0.000187389
151,484.939,1.12766,1.85338,0.80628,0.87431,0.74874,0.87503,0.59993,1.13377,0.96939,0.80363,0.000183855,0.000183855,0.000183855
152,488.213,1.10274,1.78002,0.79613,0.76399,0.92489,0.89735,0.60029,1.12628,0.92442,0.80188,0.000180321,0.000180321,0.000180321
153,491.45,1.1671,1.86744,0.80442,0.80029,0.88861,0.90233,0.5997,1.10852,0.91928,0.80248,0.000176786,0.000176786,0.000176786
154,494.698,1.09069,1.76807,0.79526,0.85141,0.81249,0.89905,0.59479,1.1298,0.93653,0.80142,0.000173252,0.000173252,0.000173252
155,497.989,1.12074,1.69053,0.79866,0.88874,0.8108,0.90178,0.60128,1.15998,0.99601,0.8018,0.000169718,0.000169718,0.000169718
156,501.223,1.08328,1.72416,0.80025,0.8807,0.80649,0.90566,0.59181,1.15838,0.99406,0.80074,0.000166183,0.000166183,0.000166183
157,504.472,1.16763,1.90783,0.77857,0.88599,0.8035,0.90931,0.59663,1.13764,0.9454,0.80223,0.000162649,0.000162649,0.000162649
158,507.738,1.12698,1.73249,0.78851,0.74008,0.89528,0.90455,0.58555,1.11299,0.97077,0.80075,0.000159115,0.000159115,0.000159115
159,510.989,1.1049,1.87531,0.78603,0.81152,0.82243,0.90214,0.58179,1.11689,0.94981,0.80114,0.000155581,0.000155581,0.000155581
160,514.221,1.14153,1.92226,0.8041,0.84273,0.82504,0.89815,0.59187,1.12035,0.96105,0.80142,0.000152046,0.000152046,0.000152046
161,517.469,1.10372,1.68699,0.79388,0.86801,0.85235,0.90273,0.6023,1.13139,0.99914,0.80268,0.000148512,0.000148512,0.000148512
162,520.772,1.10226,1.71113,0.79799,0.84352,0.86235,0.90177,0.5948,1.12366,0.99644,0.80115,0.000144978,0.000144978,0.000144978
163,523.993,1.06557,2.0033,0.79416,0.83245,0.86602,0.90182,0.6004,1.11834,1.01898,0.80086,0.000141443,0.000141443,0.000141443
164,527.205,1.09378,1.80362,0.79295,0.88633,0.86159,0.90981,0.60668,1.12499,0.9838,0.80082,0.000137909,0.000137909,0.000137909
165,530.522,1.15632,1.97874,0.80664,0.8476,0.8403,0.90275,0.59908,1.1293,0.9281,0.80196,0.000134375,0.000134375,0.000134375
166,533.773,1.05811,1.79831,0.81107,0.86901,0.85237,0.9119,0.61971,1.11191,0.92461,0.80261,0.000130841,0.000130841,0.000130841
167,537.006,1.13046,1.9456,0.81153,0.86646,0.85296,0.90666,0.60607,1.11795,0.91763,0.80336,0.000127306,0.000127306,0.000127306
168,540.289,1.10845,1.70315,0.80355,0.83747,0.86062,0.90049,0.59428,1.1207,0.95313,0.80223,0.000123772,0.000123772,0.000123772
169,543.631,1.10759,1.85166,0.80814,0.86604,0.83693,0.90067,0.58501,1.11385,0.95117,0.8025,0.000120238,0.000120238,0.000120238
170,546.888,1.12606,1.86978,0.78836,0.86975,0.84267,0.90617,0.60271,1.09021,0.94757,0.8025,0.000116703,0.000116703,0.000116703
171,550.181,1.03351,1.85315,0.78117,0.89025,0.80138,0.89979,0.60816,1.08808,0.94103,0.80119,0.000113169,0.000113169,0.000113169
172,553.529,1.10846,1.85286,0.80334,0.90391,0.79606,0.89795,0.6054,1.08816,0.96239,0.79966,0.000109635,0.000109635,0.000109635
173,556.788,1.05641,1.66432,0.78543,0.86158,0.78285,0.8966,0.60929,1.07827,0.95207,0.80075,0.0001061,0.0001061,0.0001061
174,560.065,1.10348,1.70366,0.78844,0.83028,0.85744,0.89909,0.61551,1.10735,0.9397,0.80183,0.000102566,0.000102566,0.000102566
175,563.364,1.13734,1.90747,0.79661,0.80735,0.84743,0.90047,0.61666,1.10682,0.94854,0.80224,9.90318e-05,9.90318e-05,9.90318e-05
176,566.605,1.0477,1.59084,0.79622,0.82785,0.81235,0.90141,0.61615,1.10248,0.94608,0.80136,9.54975e-05,9.54975e-05,9.54975e-05
177,569.862,1.08295,1.79107,0.77831,0.83221,0.81514,0.89848,0.61983,1.08921,0.94071,0.80052,9.19632e-05,9.19632e-05,9.19632e-05
178,573.147,1.09042,1.68446,0.79044,0.81481,0.84454,0.90106,0.62486,1.10602,0.94713,0.79955,8.84289e-05,8.84289e-05,8.84289e-05
179,576.422,1.0611,1.69353,0.79433,0.80722,0.8554,0.90528,0.61148,1.13084,0.95581,0.79932,8.48946e-05,8.48946e-05,8.48946e-05
180,579.665,1.10477,1.60791,0.80558,0.79647,0.87757,0.90541,0.6249,1.1197,0.92945,0.80049,8.13603e-05,8.13603e-05,8.13603e-05
